YEAR,NAME,Estimate!!Total,Estimate!!Total!!White alone,Estimate!!Total!!Black or African American alone,Estimate!!Total!!American Indian and Alaska Native alone,Estimate!!Total!!Asian alone,Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Some other race alone,Estimate!!Total!!Two or more races,Estimate!!Total!!Two or more races!!Two races including Some other race,"Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races"
2005,South Carolina,4113961,2774429,1174488,13859,44560,1485,60114,45026,5460,39566
2006,South Carolina,4321249,2908324,1237900,11935,46939,3284,57217,55650,3894,51756
2007,South Carolina,4407709,2968269,1253575,13342,54720,1956,62461,53386,5297,48089
2008,South Carolina,4479800,3025982,1257796,12333,49260,1100,63641,69688,4866,64822
2009,South Carolina,4561242,3082191,1273826,11993,57335,2717,65551,67629,7317,60312
2010,South Carolina,4636312,3110798,1301988,12675,53658,1642,71127,84424,8658,75766
2011,South Carolina,4679230,3135216,1305093,13244,63356,2042,75888,84391,8289,76102
2012,South Carolina,4723723,3165844,1307087,15317,59956,1738,79046,94735,11070,83665
2013,South Carolina,4774839,3209900,1320131,14297,65048,3137,71578,90748,11619,79129
2014,South Carolina,4832482,3254145,1320373,14155,68976,2959,69517,102357,7004,95353
2015,South Carolina,4896146,3292094,1344114,13761,70342,3361,68788,103686,11651,92035
2016,South Carolina,4961119,3342552,1337644,16010,76870,2561,77386,108096,9158,98938
2017,South Carolina,5024369,3380219,1357385,15007,76181,6389,81959,107229,9274,97955
2018,South Carolina,5084127,3407706,1353599,23672,80969,4004,92980,121197,14653,106544
2019,South Carolina,5148714,3434467,1362917,18971,86571,7572,112685,125531,13135,112396
2021,South Carolina,5190705,3301055,1299709,19948,85953,2123,141384,340533,159392,181141
2022,South Carolina,5282634,3361662,1325020,20380,90557,2301,145605,337109,170726,166383
2023,South Carolina,5373555,3415285,1311022,22700,94551,5988,149361,374648,174623,200025
