YEAR,NAME,Estimate!!Total,Estimate!!Total!!White alone,Estimate!!Total!!Black or African American alone,Estimate!!Total!!American Indian and Alaska Native alone,Estimate!!Total!!Asian alone,Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Some other race alone,Estimate!!Total!!Two or more races,Estimate!!Total!!Two or more races!!Two races including Some other race,"Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races"
2005,Texas,22270165,16021256,2442350,113898,726027,12725,2580469,373440,145927,227513
2006,Texas,23507783,16405937,2718515,111511,787208,14047,3053945,416620,160211,256409
2007,Texas,23904380,16804155,2757554,111209,806844,17053,2964688,442877,154668,288209
2008,Texas,24326974,17971317,2780252,121351,841339,18344,2119034,475337,137665,337672
2009,Texas,24782302,18277105,2856747,139030,883429,19339,2075500,531152,157831,373321
2010,Texas,25257114,18716520,2970243,129162,969500,18528,1905113,548048,155229,392819
2011,Texas,25674681,19149157,3011795,128773,999118,18726,1770210,596902,155873,441029
2012,Texas,26059203,19546170,3099425,126041,1052002,21938,1599204,614423,144885,469538
2013,Texas,26448193,19840367,3142866,118862,1089907,19892,1589415,646884,140449,506435
2014,Texas,26956958,20265860,3234898,121708,1161951,20055,1488773,663713,135781,527932
2015,Texas,27469114,20587917,3298173,132948,1248823,20071,1489855,691327,151197,540130
2016,Texas,27862596,20702709,3362283,135275,1300300,25228,1622087,714714,144589,570125
2017,Texas,28304596,20929140,3423231,135098,1360248,23905,1683894,749080,162297,586783
2018,Texas,28701845,21099066,3527027,149997,1430857,21463,1709445,763990,153690,610300
2019,Texas,28995881,21273326,3553922,144993,1446073,27026,1714614,835927,166747,669180
2021,Texas,29527941,14129750,3525415,227815,1550868,23046,3011066,7059981,6078116,981865
2022,Texas,30029572,14293026,3620288,247149,1638936,35954,3033865,7160354,6087507,1072847
2023,Texas,30503301,14557719,3761423,267945,1733933,43245,3030208,7108828,6018808,1090020
