YEAR,NAME,Estimate!!Total,Estimate!!Total!!White alone,Estimate!!Total!!Black or African American alone,Estimate!!Total!!American Indian and Alaska Native alone,Estimate!!Total!!Asian alone,Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Some other race alone,Estimate!!Total!!Two or more races,Estimate!!Total!!Two or more races!!Two races including Some other race,"Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races"
2005,Virginia,7332608,5259281,1397192,24261,342239,4192,171128,134315,17472,116843
2006,Virginia,7642884,5413295,1496076,18553,365515,6291,197995,145159,22999,122160
2007,Virginia,7712091,5429003,1509278,22825,373305,5184,218333,154163,20178,133985
2008,Virginia,7769089,5500412,1520432,24007,374329,4148,179763,165998,26376,139622
2009,Virginia,7882590,5552824,1542737,25006,391484,6147,173971,190421,26352,164069
2010,Virginia,8024617,5573934,1569497,24477,438003,6709,192699,219298,26361,192937
2011,Virginia,8096604,5615742,1581452,24374,455242,5084,173964,240746,27514,213232
2012,Virginia,8185867,5661067,1576258,23022,469669,5008,187150,263693,33365,230328
2013,Virginia,8260405,5726886,1592426,19615,484497,5808,162662,268511,23708,244803
2014,Virginia,8326289,5739681,1601449,21233,510871,4553,174873,273629,28524,245105
2015,Virginia,8382993,5718051,1612831,22773,524476,5506,203193,296163,32653,263510
2016,Virginia,8411808,5707035,1601868,23156,532320,8379,228627,310423,35061,275362
2017,Virginia,8470020,5714699,1627641,26792,545776,4225,219501,331386,31959,299427
2018,Virginia,8517685,5737580,1631512,22265,555422,5659,215743,349504,34203,315301
2019,Virginia,8535519,5714646,1659908,23388,565643,5039,246663,320232,32907,287325
2021,Virginia,8642274,5251112,1587833,37018,586231,8330,348467,823283,400921,422362
2022,Virginia,8683619,5226121,1620131,26104,610671,7799,392164,800629,407792,392837
2023,Virginia,8715698,5214732,1604133,32770,603772,7513,400443,852335,429609,422726
