YEAR,NAME,Estimate!!Total,Estimate!!Total!!White alone,Estimate!!Total!!Black or African American alone,Estimate!!Total!!American Indian and Alaska Native alone,Estimate!!Total!!Asian alone,Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Some other race alone,Estimate!!Total!!Two or more races,Estimate!!Total!!Two or more races!!Two races including Some other race,"Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races"
2009,Virginia,7721730,5458832,1510139,22932,371788,5804,192534,159701,24100,135601
2010,Virginia,7841754,5479975,1532150,24941,416549,5711,201692,180736,26075,154661
2011,Virginia,7926192,5526985,1545568,25665,430227,5295,194281,198171,27049,171122
2012,Virginia,8014955,5575445,1561042,25205,443460,5438,184403,219962,29250,190712
2013,Virginia,8100653,5627076,1568021,24816,457792,5633,179449,237866,27985,209881
2014,Virginia,8185131,5668363,1577943,23421,475632,5485,179166,255121,29175,225946
2015,Virginia,8256630,5695147,1589345,22570,492973,5304,183124,268167,29832,238335
2016,Virginia,8310301,5712958,1596352,21948,502878,5494,190972,279699,30698,249001
2017,Virginia,8365952,5720209,1605447,22499,520119,5469,200265,291944,30558,261386
2018,Virginia,8413774,5722660,1613285,22972,531503,5677,208464,309213,33041,276172
2019,Virginia,8454463,5717617,1621592,23873,541133,6179,223794,320275,32870,287405
2020,Virginia,8509358,5643436,1620649,22553,570398,5994,240542,405786,104669,301117
2021,Virginia,8582479,5574307,1631941,24007,578210,5313,265361,503340,177168,326172
2022,Virginia,8624511,5473610,1630355,23728,591088,6185,303247,596298,252261,344037
