Total_Pop,Black_Pop,White_Pop,Others_Pop,Total_household_income_white,Household_income_100_125,Household_income_125_150,Household_income_200
3967,2350.0,990.0,627.0,295.0,15.0,22.0,124.0
5084,3310.0,401.0,1373.0,186.0,22.0,35.0,0.0
4482,3458.0,150.0,874.0,94.0,40.0,6.0,0.0
3305,2517.0,195.0,593.0,108.0,0.0,0.0,0.0
3222,2727.0,234.0,261.0,122.0,10.0,32.0,0.0
2907,2180.0,368.0,359.0,148.0,46.0,28.0,20.0
2013,1461.0,437.0,115.0,56.0,4.0,0.0,0.0
3724,3116.0,257.0,351.0,67.0,18.0,10.0,7.0
2272,1507.0,374.0,391.0,194.0,7.0,8.0,62.0
5124,2286.0,447.0,2391.0,235.0,33.0,16.0,24.0
2348,1006.0,1020.0,322.0,425.0,0.0,89.0,187.0
5416,1145.0,2541.0,1730.0,1283.0,145.0,26.0,162.0
5834,814.0,3179.0,1841.0,1263.0,114.0,174.0,214.0
3555,1796.0,316.0,1443.0,201.0,0.0,8.0,9.0
4163,1253.0,756.0,2154.0,387.0,73.0,20.0,17.0
4077,1519.0,643.0,1915.0,276.0,20.0,4.0,21.0
2779,1489.0,839.0,451.0,335.0,49.0,10.0,66.0
2680,1168.0,439.0,1073.0,174.0,0.0,10.0,44.0
4509,2425.0,652.0,1432.0,274.0,44.0,33.0,55.0
3052,2213.0,598.0,241.0,270.0,42.0,37.0,54.0
2055,1226.0,515.0,314.0,220.0,43.0,19.0,20.0
4794,3929.0,365.0,500.0,186.0,6.0,22.0,0.0
2338,1739.0,299.0,300.0,154.0,49.0,13.0,13.0
4487,2436.0,1047.0,1004.0,494.0,57.0,83.0,44.0
4554,2241.0,887.0,1426.0,477.0,19.0,64.0,17.0
3975,955.0,2103.0,917.0,1463.0,135.0,57.0,99.0
4028,718.0,2329.0,981.0,1678.0,83.0,141.0,93.0
3477,53.0,3120.0,304.0,1841.0,266.0,159.0,371.0
2406,214.0,1871.0,321.0,1237.0,144.0,93.0,147.0
