YEAR,NAME,Estimate!!Total,Estimate!!Total!!White alone,Estimate!!Total!!Black or African American alone,Estimate!!Total!!American Indian and Alaska Native alone,Estimate!!Total!!Asian alone,Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Some other race alone,Estimate!!Total!!Two or more races,Estimate!!Total!!Two or more races!!Two races including Some other race,"Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races"
2005,New York,18655275,12508643,2858062,67460,1246567,6123,1684562,283858,81490,202368
2006,New York,19306183,12816272,2990260,60409,1322971,4927,1775451,335893,98752,237141
2007,New York,19297729,12742889,3010970,63864,1328767,8375,1778293,364571,111101,253470
2008,New York,19490297,13092844,3101231,72575,1361955,5908,1466868,388916,111756,277160
2009,New York,19541453,13162838,3068887,64231,1373918,6191,1473739,391649,99567,292082
2010,New York,19392283,12775673,3015272,71792,1433875,6597,1575686,513388,143739,369649
2011,New York,19465197,12710382,3036099,67731,1447760,5562,1670880,526783,161456,365327
2012,New York,19570261,12767396,3046610,73392,1498346,7456,1644049,533012,156134,376878
2013,New York,19651127,12695280,3079582,73231,1554980,9962,1673398,564694,152684,412010
2014,New York,19746227,12634312,3093476,81512,1613255,4574,1746680,572418,137065,435353
2015,New York,19795791,12621132,3081333,69933,1672186,6446,1763351,581410,142861,438549
2016,New York,19745289,12530463,3080534,73052,1668036,9236,1767107,616861,148081,468780
2017,New York,19849399,12523357,3136984,76069,1734663,7397,1768858,602071,152509,449562
2018,New York,19542209,12375601,3069259,84312,1666113,9424,1689845,647655,152400,495255
2019,New York,19453561,12293680,3084304,73560,1680219,8277,1664223,649298,149030,500268
2021,New York,19835913,11022836,2812364,119692,1727826,9815,2023175,2120205,1463436,656769
2022,New York,19677151,10866983,2827785,123698,1791490,8842,2073894,1984459,1333383,651076
2023,New York,19571216,10781005,2801538,131671,1785642,8566,2011783,2051011,1390155,660856
