YEAR,NAME,Estimate!!Total,Estimate!!Total!!White alone,Estimate!!Total!!Black or African American alone,Estimate!!Total!!American Indian and Alaska Native alone,Estimate!!Total!!Asian alone,Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Some other race alone,Estimate!!Total!!Two or more races,Estimate!!Total!!Two or more races!!Two races including Some other race,"Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races"
2009,Texas,23819042,17111322,2738904,121241,810844,19237,2559403,458091,154662,303429
2010,Texas,24311891,17503446,2864666,119680,904831,19005,2411546,488717,157270,331447
2011,Texas,24774187,18093212,2917108,125101,939558,19966,2155160,524082,158367,365715
2012,Texas,25208897,18670767,2972834,127794,979385,20671,1883103,554343,154584,399759
2013,Texas,25639373,19075100,3030970,129219,1019260,20974,1773524,590326,154971,435355
2014,Texas,26092033,19499105,3094227,127236,1067008,21867,1662288,620302,150808,469494
2015,Texas,26538614,19874610,3152917,126493,1124011,21655,1585866,653062,149597,503465
2016,Texas,26956435,20174403,3221133,128145,1175423,22248,1561683,673400,147528,525872
2017,Texas,27419612,20459525,3286950,130360,1236852,23531,1580393,702001,149391,552610
2018,Texas,27885195,20720689,3365783,136061,1308257,23672,1600234,730499,152824,577675
2019,Texas,28260856,20903375,3428211,141425,1357273,25292,1643869,761411,159939,601472
2020,Texas,28635442,19805623,3464424,137921,1415664,25328,1788398,1998084,1294464,703620
2021,Texas,28862581,18566027,3499862,147892,1452713,24608,2019394,3152085,2383697,768388
2022,Texas,29243342,17293460,3552579,169576,1511069,27350,2281525,4407783,3547610,860173
