OBJECTID,NHGISST,NHGISCTY,GISJOIN,GISJOIN2,SQMI,CENSUS_YEAR,STATE_NAME,TRACT_NUMBER,TRACT_NAME,BUB01,BUJ01,BUJ02,BUJ03,BUJ04,BUJ05,BUJ06,BUJ07,BUJ08,BUJ09,BUJ10,BUJ11,BUJ12,BUJ13,BUJ14,BUJ15,BUJ16,BUJ17,BUJ18,BUJ19,BUJ20,BVS001,BVS001P,BVS002,BVS002P,BUQ001,BUQ001P,BUQ002,BUQ002P,BUP1,BUP1P,BUP2,BUP2P,BU1001,BU6001,BU6002,BU6003,BU6004,BU6005,BU6006,BU6007,BU6008,BU6009,BU6010,BU6011,BVP001,BU7001,BU7002,BU7003,BU7004,BU7005,BU7006,BU7007,BU7008,BU7009,BU7010,BU7011,BVQ001,BU4001,BU4002,BU2001,BU2001P,BU2002,BU2002P,BVC001,BVJ001,BUH01,BUH02,BUH03,BUH04,BUH05,BUH06,BUH07,BUH08,BUH09,BUH10,BUW0,BUW1,BUW2,BUX1,BUX2,BUX3,BUX4,BUX5,BUX6,BUX7,BUX8,BUZ01,BUZ02,BU1,BU2,BU3,BU4,BU5,BU6,BU7,BU8,BU9,BU10,BU11,GIS_ID,CREATOR,CREATED,EDITOR,EDITED,SHAPEAREA,SHAPELEN
1,110,0010,G11000100016,11000100016,1.04400003,1940,District Of Columbia,16,STCTY-11001 TRACT-    0016     IN WASHINGTON DC,3684,174,211,227,279,278,285,291,297,387,333,316,207,167,99,68,65,334,9.1,167,4.5,1646,44.7,2038,55.3,3494,94.8,190,5.2,3289,94.1,205,5.9,996,815,1,22,24,0,60,5,10,16,43,0,950,11,203,241,233,132,78,35,11,3,2,1,3.88,46,0,739,77.8,211,22.2,15235,55.5,2515,11,36,68,463,346,701,350,522,18,3118,1744,1374,1701,5,38,806,324,73,0,171,38,1.2,1701,342,42,290,598,97,49,219,56,1,7,Tract40Ply_1,,,,,0,0
2,110,0010,G11000100015,11000100015,1.82846999,1940,District Of Columbia,15,STCTY-11001 TRACT-    0015     IN WASHINGTON DC,3921,287,295,342,288,216,188,334,386,491,357,246,164,115,79,72,61,266,6.8,151,3.9,1808,46.1,2113,53.9,3807,97.1,114,2.9,3635,95.5,172,4.5,1081,1076,0,2,2,0,0,0,0,0,0,1,1027,13,218,251,296,141,67,26,9,2,3,1,3.82,45,9,869,84.6,158,15.4,12561,10,2493,9,17,47,243,267,636,492,762,20,3064,1616,1448,1576,10,30,913,335,66,15,119,30,1,1576,439,29,328,528,58,24,129,17,10,14,Tract40Ply_2,,,,,0,0
3,110,0010,G11000100017,11000100017,0.60330099,1940,District Of Columbia,17,STCTY-11001 TRACT-    0017     IN WASHINGTON DC,5251,301,278,320,417,443,459,447,486,464,396,335,272,257,164,97,115,518,9.9,261,5,2423,46.1,2828,53.9,5047,96.1,204,3.9,4734,93.8,313,6.2,1617,846,1,66,136,42,12,15,64,57,367,11,1515,72,438,373,322,149,89,39,12,4,9,8,3.47,95,7,703,46.4,812,53.6,9230,53.69,3492,18,83,156,670,572,987,438,545,23,4419,2543,1876,2422,28,93,1108,416,142,0,210,93,2.1,2422,391,59,248,997,260,179,74,173,32,9,Tract40Ply_3,,,,,0,0
4,110,0010,G11000100018,11000100018,0.88991898,1940,District Of Columbia,18,STCTY-11001 TRACT-    0018     IN WASHINGTON DC,5204,321,201,196,321,761,874,634,455,412,352,245,159,115,66,50,42,231,4.4,116,2.2,2643,50.8,2561,49.2,4954,95.2,250,4.8,4519,91.2,435,8.8,1542,332,174,110,42,36,108,26,30,366,318,0,1432,59,587,353,224,105,57,22,17,2,3,3,3.63,104,6,454,31.7,978,68.3,11227,56.46,3404,11,58,95,581,517,1044,494,572,32,4527,3179,1348,3093,27,59,909,267,54,0,118,59,1.3,3093,551,160,336,1208,206,136,81,372,30,13,Tract40Ply_4,,,,,0,0
5,110,0010,G11000100040,11000100040,0.184525,1940,District Of Columbia,40,STCTY-11001 TRACT-    0040     IN WASHINGTON DC,8528,244,223,242,441,887,1102,912,691,709,658,595,483,425,385,263,268,1073,12.6,648,7.6,3401,39.9,5127,60.1,6992,82,1536,18,6525,93.3,467,6.7,3050,137,295,6,58,81,64,21,249,449,1689,1,2744,529,1022,557,256,139,73,43,34,23,15,53,3.11,239,67,268,9.8,2476,90.2,12122,57.94,6491,47,128,205,940,847,1756,1080,1398,90,7874,5288,2586,4998,88,202,1485,452,287,0,362,202,2.6,4998,743,68,386,2178,172,275,403,646,90,37,Tract40Ply_5,,,,,0,0
6,110,0010,G11000100003,11000100003,0.37690899,1940,District Of Columbia,3,STCTY-11001 TRACT-    0003     IN WASHINGTON DC,6117,375,354,420,469,499,593,688,553,581,448,370,256,214,134,84,79,432,7.1,218,3.6,2823,46.2,3294,53.8,6074,99.3,43,0.7,5753,94.7,321,5.3,1842,530,769,20,60,15,96,7,207,73,64,1,1715,42,457,478,399,184,94,39,14,4,2,2,3.57,112,15,889,51.8,826,48.2,8178,61.42,4000,17,37,118,739,552,1108,627,788,14,5065,2945,2120,2746,63,136,1248,518,90,83,181,136,2.7,2746,484,99,297,1255,217,157,67,142,16,12,Tract40Ply_6,,,,,0,0
7,110,0010,G11000100087,11000100087,0.33123299,1940,District Of Columbia,87,STCTY-11001 TRACT-    0087     IN WASHINGTON DC,6978,455,458,497,609,726,717,654,532,524,453,375,285,253,194,122,124,569,8.2,316,4.5,3412,48.9,3566,51.1,6731,96.5,247,3.5,6304,93.7,427,6.3,1907,97,768,20,394,99,140,46,73,119,150,1,1800,66,416,445,346,223,133,73,53,22,10,13,3.88,103,4,614,34.1,1186,65.9,5975,48.35,4233,53,158,329,1427,880,861,266,210,49,5659,3397,2262,3104,51,242,1367,482,210,0,203,242,4.3,3104,128,34,173,1188,536,544,56,281,142,22,Tract40Ply_7,,,,,0,0
8,110,0010,G11000100041,11000100041,0.30165401,1940,District Of Columbia,41,STCTY-11001 TRACT-    0041     IN WASHINGTON DC,4042,73,94,142,264,361,421,390,333,289,342,319,289,283,199,128,115,610,15.1,327,8.1,1441,35.7,2601,64.3,3738,92.5,304,7.5,3442,92.1,296,7.9,1484,238,101,4,8,18,24,2,101,33,953,2,1304,314,468,223,110,87,38,22,9,11,3,19,3.1,109,71,271,20.8,1033,79.2,20000,69.59,3108,8,37,115,317,238,806,577,975,35,3783,2211,1572,2147,22,42,709,287,84,96,396,42,1.1,2147,461,35,289,744,23,54,431,87,5,18,Tract40Ply_8,,,,,0,0
9,110,0010,G11000100044,11000100044,0.116643,1940,District Of Columbia,44,STCTY-11001 TRACT-    0044     IN WASHINGTON DC,5594,315,323,340,336,600,778,643,527,399,370,287,222,186,119,76,73,381,6.8,195,3.5,2623,46.9,2971,53.1,150,2.7,5444,97.3,115,76.7,35,23.3,1259,62,516,28,78,102,44,127,137,94,71,0,1204,109,212,203,178,130,124,75,61,34,29,49,4.65,53,2,262,21.8,942,78.2,6838,38.9,3680,65,384,467,1030,633,542,242,238,79,4682,3303,1379,2779,150,374,628,303,222,0,226,374,8,2779,160,16,56,254,134,335,716,864,219,25,Tract40Ply_9,,,,,0,0
10,110,0010,G11000100045,11000100045,0.0866344,1940,District Of Columbia,45,STCTY-11001 TRACT-    0045     IN WASHINGTON DC,3639,194,185,231,253,371,463,426,376,298,242,177,141,94,87,49,52,230,6.3,136,3.7,1739,47.8,1900,52.2,64,1.8,3575,98.2,38,59.4,26,40.6,751,24,414,0,62,33,32,116,38,31,0,1,729,30,124,123,88,102,69,64,47,25,18,39,4.99,22,0,185,25.4,544,74.6,6405,42.25,2405,50,276,438,706,361,268,127,139,40,3084,2050,1034,1832,81,137,419,214,142,0,259,137,4.4,1832,116,15,31,129,98,258,464,522,195,4,Tract40Ply_10,,,,,0,0
