OBJECTID,NHGISST,NHGISCTY,GISJOIN,GISJOIN2,SQMI,GISJOIN_1,CENSUS_YEAR,STATE_NAME,TRACT_NUMBER,TRACT_NAME,BZ801,BZ802,BZ803,BZ804,BZ805,BZ806,BZ807,BZ808,BZ809,BZ810,BZ811,BZ812,BZ813,BZ814,BZ815,BZ816,BZ817,BZ818,BZ819,BZ820,BZ821,BZ822,BZ823,BZ824,BZ825,BZ826,BOA01,BOA02,BOA03,BOA04,B0J001,B0J001P,B0J002,B0J002P,B0J003,B0J003P,B1K001,B0S001,B0W001,B0W002,B0W003,B0W004,B0W005,B0W006,B0Z001,B00001,B00002,B00003,B00004,B00005,B00006,B0T003,B0T004,B0T001,B0T002,B0U001,B1J001,B1M001,BZ9001,B09001,B05001,B0B,B0B001,B0B002,B0B003,B0B004,B0B005,B0B006,B0B007,B0B008,B0B009,B0B010,BON01,BON02,BON03,BOP01,BOP02,BOP03,BOR01,BOR02,BOR03,BOR04,BOR05,BOR06,BOR07,B0D001,B0E001,B0E002,B0E003,B0E004,B0E005,B0E006,B0E007,B0E008,B0E009,B0E010,B0E011,B0E012,B0E013,B0E014,B0E015,B0E016,GIS_ID,CREATOR,CREATED,EDITOR,EDITED,SHAPEAREA,SHAPELEN
1,110,0010,G11000100016,11000100016,1.04400003,G11000100016,1950,District Of Columbia,16,STCTY-11001 TRACT-    0016     IN WASHINGTON DC,4686,280,307,268,440,324,255,246,331,384,392,421,352,228,191,127,123,17,686,14.6,458,9.8,2078,44.3,2608,55.7,4566,97.4,112,2.4,8,0.2,545,1283,1073,4,33,26,77,70,1258,62,290,306,291,259,50,18,7,1051,207,1257,1100,595,20000,55.03,0,3010,25,120,75,90,250,340,915,405,715,75,1800,3875,1994,1881,1927,37,1927,450,520,438,179,90,48,118,57,6,21,1800,245,75,125,60,40,40,75,85,35,25,70,95,220,495,115,5536,Tract50Ply_1,,,,,0,0
2,110,0010,G11000100015,11000100015,1.82846999,G11000100015,1950,District Of Columbia,15,STCTY-11001 TRACT-    0015     IN WASHINGTON DC,5427,349,547,442,320,227,196,268,429,571,527,527,372,239,158,109,118,28,652,12,413,7.6,2457,45.3,2970,54.7,5327,98.2,86,1.6,14,0.3,365,1540,1532,1,3,4,0,0,1498,39,407,349,352,297,54,21,21,1370,128,1496,1310,315,20000,100,3,3615,10,30,80,40,220,305,905,595,1345,85,1725,4181,2202,1979,2094,36,2094,726,498,463,128,71,27,109,40,10,22,1725,85,70,65,40,15,35,30,25,40,60,110,100,410,475,165,7768,Tract50Ply_2,,,,,0,0
3,110,0010,G11000100017,11000100017,0.60330099,G11000100017,1950,District Of Columbia,17,STCTY-11001 TRACT-    0017     IN WASHINGTON DC,6845,712,494,301,351,444,652,630,557,500,492,418,406,310,223,160,161,34,888,13,578,8.4,3123,45.6,3722,54.4,6726,98.3,87,1.3,32,0.5,565,2109,806,180,272,140,90,621,2075,200,573,502,439,296,65,22,12,1062,1013,2071,1715,610,15811,57.33,9,4570,45,125,145,155,505,780,1445,640,655,75,2485,5392,3157,2235,3012,60,3012,595,435,922,318,325,171,34,140,39,33,2485,135,50,80,110,160,150,290,175,170,140,265,220,235,180,125,4088,Tract50Ply_3,,,,,0,0
4,110,0010,G11000100018,11000100018,0.88991898,G11000100018,1950,District Of Columbia,18,STCTY-11001 TRACT-    0018     IN WASHINGTON DC,8823,616,431,324,604,918,968,970,921,827,639,545,412,259,172,116,91,10,648,7.3,389,4.4,4753,53.9,4070,46.1,8471,96,333,3.8,19,0.2,993,2456,502,131,156,38,154,1475,2421,253,937,576,387,228,40,29,6,703,1718,2425,2080,2390,20000,64.34,0,6000,50,155,200,155,525,820,1615,1125,1110,245,4600,7503,5227,2276,3356,81,3356,671,709,987,412,203,121,49,157,14,33,4600,325,240,375,235,165,280,295,225,165,165,370,310,480,315,655,3628,Tract50Ply_4,,,,,0,0
5,110,0010,G11000100033,11000100033,0.24891099,G11000100033,1950,District Of Columbia,33,STCTY-11001 TRACT-    0033     IN WASHINGTON DC,9650,776,422,394,503,999,1155,945,873,753,653,566,451,396,328,219,182,35,1160,12,764,7.9,4539,47,5111,53,2796,29,6819,70.7,35,0.4,197,2327,7,1166,46,358,406,344,2278,171,565,506,384,425,227,26,23,1091,1187,2276,2185,1650,14284,55.32,0,6540,40,400,495,435,840,1050,1375,605,820,480,4205,8137,5113,3024,4926,157,4926,479,111,1262,156,441,639,406,1006,340,86,4205,420,280,390,370,500,465,330,190,140,125,180,120,90,20,585,2350,Tract50Ply_5,,,,,0,0
6,110,0010,G11000100037,11000100037,0.103725,G11000100037,1950,District Of Columbia,37,STCTY-11001 TRACT-    0037     IN WASHINGTON DC,6579,356,194,146,225,592,800,715,680,625,539,487,370,309,222,162,136,21,850,12.9,541,8.2,2549,38.7,4030,61.3,5872,89.3,672,10.2,35,0.5,498,2264,36,143,13,92,203,1777,2227,623,861,367,200,118,58,24,13,185,2042,2226,1425,2255,0,57.91,40,5035,20,140,255,175,445,690,1540,765,695,310,3985,5917,4207,1710,4028,132,4028,613,249,1771,275,343,190,73,360,61,93,3985,290,140,185,195,395,475,585,340,260,155,185,140,160,70,410,3092,Tract50Ply_6,,,,,0,0
7,110,0010,G11000100040,11000100040,0.184525,G11000100040,1950,District Of Columbia,40,STCTY-11001 TRACT-    0040     IN WASHINGTON DC,9137,412,225,206,305,838,1104,848,898,775,665,691,596,494,403,298,330,49,1574,17.2,1080,11.8,3644,39.9,5493,60.1,6811,74.5,2262,24.8,64,0.7,606,3295,18,189,36,94,186,2772,3220,911,1291,580,224,156,58,28,47,317,2903,3205,1665,3365,19196,64.32,8,7005,30,140,280,255,550,800,1705,1250,1460,535,5460,8329,5628,2701,5379,200,5379,1011,326,2021,267,288,278,260,707,121,100,5460,390,290,395,325,395,570,535,300,285,215,360,245,290,210,655,3035,Tract50Ply_7,,,,,0,0
8,110,0010,G11000100003,11000100003,0.37690899,G11000100003,1950,District Of Columbia,3,STCTY-11001 TRACT-    0003     IN WASHINGTON DC,7152,555,397,298,343,564,685,540,602,641,579,587,465,350,229,146,151,20,896,12.5,546,7.6,3276,45.8,3876,54.2,7087,99.1,53,0.7,12,0.2,505,2325,47,1048,266,54,317,593,2295,233,819,529,388,273,53,10,20,1069,1226,2292,1865,1000,15591,64.33,27,5020,10,105,95,165,470,590,1435,760,1200,190,3055,5947,3546,2401,3425,58,3425,934,354,1162,259,283,154,26,189,20,44,3055,130,150,160,90,175,165,285,185,220,135,260,200,470,170,260,4131,Tract50Ply_8,,,,,0,0
9,110,0010,G11000100087,11000100087,0.33123299,G11000100087,1950,District Of Columbia,87,STCTY-11001 TRACT-    0087     IN WASHINGTON DC,7281,651,389,358,428,708,778,723,708,619,475,394,339,255,203,117,118,18,711,9.8,456,6.3,3458,47.5,3823,52.5,4310,59.2,2957,40.6,14,0.2,295,1961,84,772,22,370,317,396,1916,175,500,453,332,321,135,25,20,780,1136,1947,1865,950,12429,51.16,0,4835,30,260,420,365,750,1020,1195,420,220,155,3000,5949,3827,2122,3705,99,3705,299,132,1027,199,502,514,167,591,231,43,3000,300,100,125,170,355,330,355,170,195,155,225,140,110,60,210,3021,Tract50Ply_9,,,,,0,0
10,110,0010,G11000100041,11000100041,0.30165401,G11000100041,1950,District Of Columbia,41,STCTY-11001 TRACT-    0041     IN WASHINGTON DC,4527,216,122,100,160,337,427,329,355,405,369,367,342,287,268,213,197,33,998,22,711,15.7,1739,38.4,2788,61.6,4271,94.3,232,5.1,24,0.5,493,1777,194,167,33,20,29,1334,1682,535,652,244,127,88,36,30,65,385,1297,1700,855,1860,20000,84.82,16,3690,15,70,110,35,140,300,1015,650,1110,245,2855,4112,2527,1585,2406,35,2406,655,292,734,126,50,45,321,136,8,39,2855,180,145,300,135,155,255,220,155,125,55,115,110,230,345,330,3210,Tract50Ply_10,,,,,0,0
