OBJECTID,NHGISST,NHGISCTY,GISJOIN,GISJOIN2,SQMI,CENSUS_YEAR,STATE_NAME,TRACT_NUMBER,TRACT_SUFFIX,TRACT_NAME,CA4001,B6H1,B6H2,B6H3,B6H4,B6H5,B6H6,B6H7,B6H8,B6H9,B6H10,B6H11,B6H12,B6H13,B6H14,B6H15,B6H16,B6H17,B6H18,B58001,B58002,B58003,B58004,B58005,B58006,B58007,B58008,B58009,B58010,B58011,B58012,B58013,B58014,B58015,B58016,CA7001,CA7002,B8J001,B7D01,B7D001,B7D002,B7D003,B7D004,B7D005,CAS001,CAS002,CAS003,CAS004,CAS005,CAS006,CAS007,CAS008,CAS009,CAS010,B9O001,B9O002,B9R001,B9R002,B9R003,B78001,B78002,B78003,B78004,B78005,B78006,CAR001,CAR002,CAR003,CAR004,CAR005,CAR006,CAR007,CAR008,CAR009,CAR010,CAR011,CAR012,CAR013,B54001,B8O001,B8O002,B8O003,B8O004,B8R001,B8R002,B8R003,B8R004,B8R005,B8R006,B8R007,B8R008,B8201,B8202,B8203,B8204,B9B01,B9B02,B9B03,B9B04,B9B05,B9B06,B9B07,B9B08,B9B09,B9B10,B9B11,B9B12,B9F001,B9F002,B9F003,B9F004,B9F005,B9F006,B9F007,B9F008,B9F009,B9F010,B9F011,B9F012,B9F013,B9F014,B9F015,B9F016,B9F017,B9F018,B9F019,B9F020,B9F021,B9F022,B9F023,B9F024,B9F025,B6X001,B6X002,B6X003,B6X004,B6X005,B6X006,B6X007,B6X008,CAN001,CAN002,CAN003,CAN004,B8W001,B8W002,B8W003,B8W004,B8W005,B8W006,B8W007,B8W008,B8W009,B8W010,B8W011,B8W012,B8W013,GIS_ID,CREATOR,CREATED,EDITOR,EDITED,SHAPEAREA,SHAPELEN
1,110,0010,G11000100016,11000100016,1.04400003,1960,District Of Columbia,16,,TRACT 16,5458,258,377,455,638,290,162,218,305,420,525,453,382,333,258,185,100,61,38,1389,25.4,975,17.9,642,11.8,2483,45.5,2975,54.5,5344,97.9,93,1.7,21,0.4,9,0.2,905,1610,1455,29,58,25,43,1572,134,452,332,313,196,93,31,21,3.3,1344,228,19,10,9,0,0,22,143,324,848,0,0,0,0,4,16,46,32,21,26,8,20,34,234,53,53,699,521,74,81,144,344,499,918,574,812,2307,44,41,2077,460,4,492,150,160,104,37,8,40,0,12,53,0,128,13,20,13,4,9,17,4,40,8,8,16,14,78,68,493,48,123,63,27,151,336,395,231,1505,3,0,410,130,25,141,86,151,662,633,126,16,11,23,39,60,48,62,55,73,50,427,326,226,Tract60Ply_1,,,,,0,0
2,110,0010,G11000100015,11000100015,1.82846999,1960,District Of Columbia,15,,TRACT 15,6177,353,532,588,498,204,142,242,320,464,569,609,487,464,288,180,131,64,42,1827,29.6,1169,18.9,705,11.4,2844,46,3333,54,6035,97.7,44,0.7,98,1.6,0,0,662,1889,1884,0,0,0,5,1858,115,581,444,353,203,94,42,26,3.3,1691,167,4,5,22,0,3,28,132,468,1058,0,0,3,0,0,0,0,0,0,4,4,42,92,51,111,67,889,575,12,21,91,190,406,877,861,1545,2512,24,28,2268,703,0,460,176,118,77,20,8,22,0,22,62,0,76,4,3,16,8,4,12,0,91,4,24,15,65,48,40,183,60,102,28,16,190,406,833,284,1690,0,0,456,49,60,158,86,72,1016,704,66,28,40,12,33,59,52,55,96,39,99,522,494,191,Tract60Ply_2,,,,,0,0
3,110,0010,G11000100017,11000100017,0.60330099,1960,District Of Columbia,17,,TRACT 17,5871,492,433,389,345,329,350,327,364,391,417,408,400,374,292,253,168,92,47,1562,26.6,1226,20.9,852,14.5,2634,44.9,3237,55.1,4788,81.6,1028,17.5,55,0.9,46,0.8,648,2086,1273,95,64,111,543,2046,462,627,358,283,164,76,39,37,2.8,1130,916,11,22,7,0,17,362,454,103,31,0,8,0,27,39,93,179,182,125,91,63,58,10,66,73,62,630,520,66,99,323,526,660,1019,588,577,2613,59,99,1861,348,0,202,251,105,254,200,0,149,0,49,192,0,114,5,14,34,0,4,48,0,125,12,17,24,77,51,72,350,66,45,107,122,117,181,651,377,1410,4,5,687,228,54,62,210,681,1105,228,32,31,54,65,128,209,108,115,140,108,117,289,138,24,Tract60Ply_3,,,,,0,0
4,110,0010,G11000100018,11000100018,0.88991898,1960,District Of Columbia,18,,TRACT 18,9281,477,330,425,530,1008,699,585,614,733,747,847,679,624,450,296,141,64,32,1481,16,1607,17.3,983,10.6,4529,48.8,4752,51.2,8114,87.4,1081,11.6,86,0.9,62,0.7,1609,3664,838,72,174,106,2474,3480,888,1412,633,321,128,53,23,22,2.4,803,2677,7,164,13,0,7,62,362,255,79,8,4,8,16,29,107,386,606,350,525,247,260,72,1055,32,32,600,386,188,159,468,774,1042,1696,934,1232,4302,55,1350,2429,649,0,430,264,294,302,167,0,234,0,41,122,0,122,0,20,25,0,16,24,0,94,8,4,96,32,148,115,876,132,31,100,186,253,342,1237,441,2436,4,0,1465,775,90,78,247,1140,1944,320,76,55,66,106,181,217,188,245,218,249,215,568,207,31,Tract60Ply_4,,,,,0,0
5,110,0010,G11000100090,11000100090,1.22063005,1960,District Of Columbia,90,,TRACT 90,2388,205,205,177,595,106,113,144,130,149,117,113,95,83,70,43,16,16,11,1039,43.5,239,10,156,6.5,1432,60,956,40,1321,55.3,1064,44.6,3,0.1,19,0.8,50,513,494,10,9,0,0,502,51,134,100,77,45,37,23,35,3.7,363,139,0,11,0,0,26,200,108,6,7,0,0,4,0,5,8,8,22,20,22,22,8,4,524,13,4,371,311,33,77,182,161,251,223,92,79,865,21,0,953,75,0,52,122,18,133,107,0,105,0,73,67,0,49,0,14,6,4,4,3,5,54,8,15,25,7,20,37,128,26,39,43,24,30,36,189,99,449,0,0,240,60,7,0,80,121,289,87,5,11,8,15,35,61,58,55,44,48,39,53,14,3,Tract60Ply_5,,,,,0,0
6,110,0010,G11000100034,11000100034,0.42126399,1960,District Of Columbia,34,,TRACT 34,6867,592,523,395,949,1075,483,365,361,332,356,355,283,229,189,150,137,57,36,1782,26,798,11.6,569,8.3,3363,49,3504,51,61,0.9,6762,98.5,44,0.6,24,0.3,271,1685,912,108,214,177,274,1619,413,416,261,170,123,96,57,83,3.1,375,1244,0,55,11,2,69,196,74,8,7,4,25,78,113,260,169,222,156,82,76,51,0,0,1794,86,86,810,778,50,228,546,471,604,626,381,362,2270,120,8,3013,272,0,37,494,46,232,399,44,558,0,294,206,0,117,0,5,4,0,0,29,0,38,4,17,59,40,9,114,166,77,292,225,120,210,105,374,265,558,0,0,1114,329,26,98,113,1042,530,47,0,78,143,174,165,144,128,96,48,35,8,73,10,0,Tract60Ply_6,,,,,0,0
7,110,0010,G11000100039,11000100039,0.149124,1960,District Of Columbia,39,,TRACT 39,5325,276,177,171,165,399,363,430,385,372,380,401,389,405,331,278,210,122,71,705,13.2,1417,26.6,1012,19,2122,39.8,3203,60.2,4653,87.4,546,10.3,126,2.4,10,0.2,737,2892,164,38,102,207,2381,2796,1420,852,273,138,50,33,12,18,1.9,492,2304,12,40,44,16,140,119,94,11,4,8,4,27,46,98,210,315,473,398,280,280,105,4,104,11,11,299,237,24,66,279,371,752,995,698,958,3072,142,24,1492,324,0,207,256,76,133,83,0,188,0,53,200,0,50,4,0,18,0,5,16,0,95,8,13,33,59,20,134,221,63,55,151,58,117,307,1086,559,750,0,0,1520,162,101,135,319,1762,884,107,43,48,40,110,93,136,168,98,115,82,27,193,111,14,Tract60Ply_7,,,,,0,0
8,110,0010,G11000100035,11000100035,0.14877699,1960,District Of Columbia,35,,TRACT 35,2628,257,252,224,142,170,159,189,186,180,176,156,152,123,96,80,45,25,16,812,30.9,385,14.6,262,10,1192,45.4,1436,54.6,17,0.6,2595,98.7,16,0.6,0,0,47,838,410,175,74,52,127,772,132,220,145,85,65,50,35,40,3.3,264,508,4,55,7,0,53,158,38,2,1,0,0,9,16,14,86,123,102,79,62,12,5,0,42,36,31,405,400,11,186,342,173,313,225,88,233,1110,58,4,756,164,0,18,188,20,88,180,32,166,0,200,96,0,61,0,12,0,0,0,8,0,17,0,0,53,9,0,41,42,18,146,82,48,96,55,281,141,246,4,0,662,47,20,13,101,451,297,24,0,53,36,77,99,82,49,45,53,33,16,44,0,0,Tract60Ply_8,,,,,0,0
9,110,0010,G11000100038,11000100038,0.144521,1960,District Of Columbia,38,,TRACT 38,5173,438,281,246,252,438,347,367,407,349,391,401,323,305,250,163,117,61,37,1092,21.1,933,18,628,12.1,2231,43.1,2942,56.9,2303,44.5,2778,53.7,92,1.8,46,0.9,447,2468,376,97,118,292,1585,2303,970,707,266,149,90,44,31,46,2.2,196,2107,0,141,24,0,33,85,36,10,15,4,7,50,60,192,228,312,384,170,320,257,52,32,34,31,21,381,352,59,201,514,461,700,826,359,413,2840,152,15,1231,165,0,105,299,57,147,317,31,394,8,224,308,0,58,3,0,12,11,4,20,0,40,4,3,90,41,51,110,199,81,260,229,49,93,166,692,624,660,0,0,1351,221,92,70,376,1370,897,21,15,28,114,106,175,149,115,132,60,45,53,119,67,12,Tract60Ply_9,,,,,0,0
10,110,0010,G11000100036,11000100036,0.12185,1960,District Of Columbia,36,,TRACT 36,6480,680,381,289,333,675,631,572,552,442,467,383,312,271,183,152,83,48,26,1538,23.7,763,11.8,492,7.6,2943,45.4,3537,54.6,903,13.9,5545,85.6,32,0.5,0,0,140,2737,519,73,219,394,1532,2655,966,790,373,255,124,77,32,38,2.4,298,2357,6,58,18,0,6,143,85,15,7,0,8,65,166,227,437,475,420,227,139,121,25,5,144,67,45,472,420,37,265,638,571,1055,879,351,351,3450,165,36,1526,251,0,55,413,28,266,398,24,671,16,466,652,0,198,4,4,12,0,8,21,0,44,8,9,69,60,28,161,235,89,423,213,133,146,125,672,788,803,0,0,1763,243,57,24,494,1851,748,45,11,111,114,205,243,217,161,133,95,86,41,105,22,0,Tract60Ply_10,,,,,0,0
