OBJECTID,FEDTRACTNO,TRACTNO,AREASQMI,POPDENSITY,TOTAL,NAME,FULLTOTAL,AGE0_17,AGE0_17PCT,AGE18PLUS,AGE18PLUSP,CHTOTAL,CHWHITE,CHBLACK,CHAMERIND,CHASIAN,CHHISP,CHOTHER,TOTALPERC,TOTAL90,TOTAL00,TOTPOPCHG,TOTPOPCHGP,WHITE,BLACK,AMERIND,ASIAN,HAWAIIAN,OTHER,HISPANIC,OCCUPIEDHO,PCTOWNEROC,TRACT90,COMMENT_,MRDCHREL,MRDCHRELNO,MHHCHREL,MHHCHRELNO,FMHHCHREL,FMHHCHRELN,MARRIED,TOTHOUSEUN,SINGLEFAMI,MULTIUNIT,CONSTRCOST,SINGLECOST,MULTICOST,MULTIPERSO,SINGLEPERS,FAGI_TOTAL_2005,FAGI_MEAN_2005,FAGI_MEDIAN_2005,DCGIS_TRACT00PLY_AREA,DCGIS_TRACT00PLY_LEN,FAGI_TOTAL_2006,FAGI_MEDIAN_2006,GIS_ID,CREATOR,CREATED,EDITOR,EDITED,SHAPEAREA,SHAPELEN
1,18.04,18.4,0.23232,17889.11846,4156,2000 Tract 18.04,1774,932,0.22425,3224,0.77574,-81,208,-697,11,43,541,527,-1.912,4237,4156,-81,-0.01911,95,2897,3,35,1,16,1003,578,0.32581,18.4, ,210,284,44,71,182,211,494,0,0,0,0,0,0,128,644,69985531,35168.6085,26205.5,0,0,65111551,29408,Tract00Ply_1,,,,,0,0
2,92.04,92.4,0.10855,21391.06403,2322,2000 Tract 92.04,1089,627,0.27002,1695,0.72997,-107,10,-144,11,6,57,30,-4.405,2429,2322,-107,-0.04405,29,2163,7,8,0,0,101,126,0.1157,92.4, ,60,81,22,21,173,114,141,0,0,0,0,0,0,81,537,18104527,27265.8539,22258.5,0,0,16019683,26279,Tract00Ply_3,,,,,0,0
3,40.01,40.1,0.10548,32935.15358,3474,2000 Tract 40.01,2346,163,0.04691,3311,0.95308,449,353,19,12,105,-23,40,14.843,3025,3474,449,0.14842,2779,171,6,151,2,13,289,1028,0.43819,40.1, ,85,335,7,10,26,26,420,0,0,0,0,0,0,368,1489,186187073,100424.527,59553.5,0,0,178056584,72633.5,Tract00Ply_4,,,,,0,0
4,3,3,0.40656,14034.82881,5706,2000 Tract 3,2784,489,0.08569,5217,0.9143,-32,-161,3,20,191,40,74,-0.558,5738,5706,-32,-0.00557,4727,170,7,327,2,17,324,1331,0.47808,3.1,Number Change,261,506,12,35,52,67,767,1,1,0,188876,188876,0,674,1177,269137973,104560.2071,52394,0,0,271067501,64574,Tract00Ply_5,,,,,0,0
5,37,37,0.11311,44116.34692,4990,2000 Tract 37,1792,1163,0.23306,3827,0.76693,-450,679,-1084,22,60,437,53,-8.272,5440,4990,-450,-0.08272,428,2729,13,93,0,20,1629,161,0.08984,37, ,174,138,41,76,309,140,312,0,0,0,0,0,0,220,694,64438008,36099.7244,26428,0,0,58389340,30778.5,Tract00Ply_69,,,,,0,0
6,33.01,33.1,0.16974,15947.92035,2707,2000 Tract 33.01,1030,547,0.20206,2160,0.79793,-394,-12,-375,12,13,32,29,-12.706,3101,2707,-394,-0.12705,154,2400,2,14,0,6,84,647,0.62815,33.1, ,77,125,19,51,86,150,202,0,0,0,0,0,0,166,356,55946734,50814.4723,36331,0,0,53007004,44326,Tract00Ply_70,,,,,0,0
7,38,38,0.13738,34342.69908,4718,2000 Tract 38,2445,790,0.16744,3928,0.83255,217,601,-641,36,94,375,350,4.821,4501,4718,217,0.04821,1652,1467,20,142,2,10,1307,536,0.21922,38, ,168,214,35,49,148,102,382,17,0,17,731150,0,731150,396,1333,137575702,58767.9205,39346,0,0,130491775,46043.5,Tract00Ply_71,,,,,0,0
8,7.02,7.2,0.11734,28344.9804,3326,2000 Tract 7.02,2296,192,0.05772,3134,0.94227,6,-112,61,29,72,36,116,0.181,3320,3326,6,0.0018,2325,204,11,274,2,24,358,462,0.20121,7.2, ,90,229,9,21,40,42,319,0,0,0,0,0,0,317,1548,93996457,53165.4169,45345,0,0,90484459,53161,Tract00Ply_72,,,,,0,0
9,16,16,1.06384,3788.16363,4030,2000 Tract 16,1633,722,0.17915,3308,0.82084,-455,-208,-213,39,-6,54,54,-10.145,4485,4030,-455,-0.10144,844,2905,7,32,0,23,130,1464,0.8965,16, ,280,597,17,48,69,151,877,2,2,0,400000,400000,0,87,384,182910896,107468.2115,72183,0,0,175248188,80973,Tract00Ply_73,,,,,0,0
10,15,15,1.83801,3073.43268,5649,2000 Tract 15,2222,1390,0.24606,4259,0.75393,79,22,83,18,66,45,41,1.418,5570,5649,79,0.01418,4564,631,4,119,2,25,185,1953,0.87893,15, ,693,724,11,23,75,67,1417,1,1,0,200000,200000,0,121,508,376818365,163691.7311,107546,0,0,390373535,125548.5,Tract00Ply_74,,,,,0,0
11,17.01,17.1,0.23817,12461.68703,2968,2000 Tract 17.01,1240,593,0.19979,2375,0.8002,-19,50,-142,14,6,173,172,-0.636,2987,2968,-19,-0.00636,274,2260,5,56,1,15,292,622,0.50161,17.1, ,114,214,23,47,106,160,328,1,1,0,44000,44000,0,108,468,54513869,44392.4015,32512.5,0,0,49959183,35895,Tract00Ply_75,,,,,0,0
12,17.02,17.2,0.36711,6101.71338,2240,2000 Tract 17.02,975,380,0.16964,1860,0.83035,-364,-47,-297,25,1,40,32,-13.978,2604,2240,-364,-0.13978,391,1625,6,24,0,3,128,681,0.69846,17.2, ,106,234,18,26,58,89,340,0,0,0,0,0,0,86,358,64355826,55383.6713,42923.5,0,0,61951765,48509,Tract00Ply_76,,,,,0,0
13,18.01,18.1,0.18498,3324.68375,615,2000 Tract 18.01,9,4,0.0065,611,0.99349,-150,-46,-109,2,23,-3,-8,-19.608,765,615,-150,-0.19607,295,205,4,30,1,1,68,0,0,18.1, ,3,5,0,0,0,0,8,1,1,0,210000,210000,0,0,1,,,,0,0,,,Tract00Ply_77,,,,,0,0
14,18.03,18.3,0.44604,6873.82298,3066,2000 Tract 18.03,1504,591,0.19275,2475,0.80724,323,202,-149,29,42,461,344,11.775,2743,3066,323,0.11775,171,2104,6,49,1,9,646,306,0.20345,18.3, ,181,211,29,59,114,125,392,0,0,0,0,0,0,82,703,60905198,37619.0229,26874,0,0,56194070,30926.5,Tract00Ply_78,,,,,0,0
15,54.01,54.1,0.11526,12684.36578,1462,2000 Tract 54.01,951,13,0.00889,1449,0.9911,374,289,2,5,109,29,14,34.375,1088,1462,374,0.34375,1066,73,3,166,8,2,110,143,0.15036,54.1, ,6,64,1,10,2,8,70,0,0,0,0,0,0,154,706,49092416,96071.2642,48858,0,0,67320896,62070,Tract00Ply_79,,,,,0,0
16,54.02,54.2,0.11664,8.57339,1,2000 Tract 54.02,1,0,0,1,1,-1,-2,0,0,1,0,0,-50,2,1,-1,-0.5,0,0,0,1,0,0,0,0,0,54.2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11665895,220111.2264,46956,0,0,7656979,58060,Tract00Ply_80,,,,,0,0
17,40.02,40.2,0.07571,36692.64298,2778,2000 Tract 40.02,1760,178,0.06407,2600,0.93592,-238,22,-287,11,120,-74,-6,-7.891,3016,2778,-238,-0.07891,1841,317,7,215,0,9,317,620,0.35227,40.2, ,73,181,6,15,21,34,254,0,0,0,0,0,0,353,1077,126332228,74400.6054,48403.5,0,0,127183432,59919.5,Tract00Ply_6,,,,,0,0
18,41,41,0.30926,8310.15974,2570,2000 Tract 41,1585,159,0.06186,2411,0.93813,-229,-172,-20,7,32,-33,-25,-8.181,2799,2570,-229,-0.08181,2083,95,2,162,4,7,175,771,0.48643,41, ,79,346,3,9,3,21,425,0,0,0,0,0,0,193,931,237514138,191081.366,66980,0,0,268324497,84529,Tract00Ply_7,,,,,0,0
19,87.02,87.2,0.19534,9808.53896,1916,2000 Tract 87.02,726,460,0.24008,1456,0.75991,-179,12,-252,33,6,29,66,-8.544,2095,1916,-179,-0.08544,42,1743,13,5,0,11,71,235,0.32369,87.2, ,50,84,12,45,100,92,134,0,0,0,0,0,0,58,285,17028955,28287.3007,22572,0,0,15630713,26436,Tract00Ply_8,,,,,0,0
20,44,44,0.20143,12853.10033,2589,2000 Tract 44,1144,403,0.15565,2186,0.84434,-359,349,-705,12,32,-8,39,-20.561,1746,2589,-359,-0.12177,634,1502,7,50,0,10,325,515,0.45017,44,Tracts Combined,71,132,14,42,70,102,203,3,0,3,100000,0,100000,255,458,125675000,69819.4444,51706.5,0,0,122685337,63285,Tract00Ply_9,,,,,0,0
21,43,43,0.09136,36011.38354,3290,2000 Tract 43,1755,517,0.15714,2773,0.84285,7,347,-449,30,50,244,188,0.213,3283,3290,7,0.00213,1107,1266,11,67,7,9,732,434,0.24729,43, ,101,138,26,39,104,83,239,0,0,0,0,0,0,279,985,92674636,55065.1432,40148,0,0,97116292,46407,Tract00Ply_10,,,,,0,0
22,8.02,8.2,0.92564,3031.4161,2806,2000 Tract 8.02,1348,347,0.12366,2459,0.87633,115,27,-3,7,112,0,24,4.274,2691,2806,115,0.04273,2304,87,3,196,0,10,163,749,0.55563,8.2, ,168,273,11,14,41,43,441,1,1,0,275000,275000,0,248,550,151191673,124437.5909,63914,0,0,165931018,76966,Tract00Ply_11,,,,,0,0
23,42.01,42.1,0.07896,42958.45998,3392,2000 Tract 42.01,2160,163,0.04805,3229,0.95194,-272,335,-435,28,68,-252,-135,-7.424,3664,3392,-272,-0.07423,2368,465,8,140,2,13,297,749,0.34675,42.1, ,50,176,8,33,27,41,226,0,0,0,0,0,0,530,1295,134578653,70239.3805,49433,0,0,144823411,59536,Tract00Ply_12,,,,,0,0
24,95.05,95.5,0.40721,6559.26917,2671,2000 Tract 95.05,1155,452,0.16922,2219,0.83077,-461,-66,-384,14,-5,23,36,-14.719,3132,2671,-461,-0.14719,65,2486,2,8,0,5,62,949,0.82164,95.5, ,85,298,14,43,70,207,383,0,0,0,0,0,0,32,406,57755232,43588.8543,38622,0,0,54462286,43489,Tract00Ply_13,,,,,0,0
