OBJECTID,SPA,SPANM,SQ_MILES,GLOBALID
1,34,North Shore Collinwood,3.02479,{7FA13CA4-C91F-463A-8501-81B157F4610E}
2,35,Collinwood-Nottingham,2.51642,{AC9C5C5C-9817-42E3-9E93-DCD9DAE868CB}
3,36,Euclid-Green,1.13335,{1633E4EA-8065-4222-8657-3711B413BD76}
4,32,Glenville,2.50649,{A723A2E1-B520-4692-832D-777B2E677EBA}
5,27,St.Clair-Superior,1.41578,{F76AD607-1A71-4FD4-B49F-A11F88D5CC06}
6,18,Goodrich-Kirtland Pk,1.56857,{EEFA3CEF-D56F-4F3C-B972-8A8CB48B6657}
7,15,Downtown,2.92977,{2B9C50C9-77DF-4361-87C1-C09E37C06B4F}
8,28,Hough,2.05164,{AF94A74B-B0D1-47E9-9241-CCEDDBFBEC84}
9,30,University,1.56578,{A1BAFF50-E1A7-47F6-848B-092B0F6AAACB}
10,19,Central,2.34206,{003E3E0E-DC76-46BB-AFB7-96799901886A}
11,29,Fairfax,1.39162,{931A63C7-CF74-4228-B6A6-667DC6484DCB}
12,14,Tremont,2.69954,{5ADE4A49-4A66-4EB4-AC01-62D377BD7E55}
13,16,Cuyahoga Valley,1.32733,{3378B2A4-F2E6-42F8-8A34-759F1C7834F4}
14,31,Buckeye-Shaker Square,1.17023,{FCAD980A-DC27-4457-9E68-541BEC6ADBF8}
15,23,Buckeye-Woodhill,1.20344,{48510AF8-458F-4FF0-B0C6-1F7B0A3DCEC0}
16,21,Kinsman,1.75835,{B46A9BF6-1EE2-4F78-9B07-EDD03DE59A15}
17,20,Broadway-Slavic Village,1.6338,{35B09CD5-6A0B-4C19-98BF-DA3936E7CB3D}
18,11,Stockyards,1.00438,{C9305DB3-7CB9-4FEC-8317-34911A4482EE}
19,07,West Boulevard,1.49964,{D5002E56-7D09-48ED-ADFC-1754B51E41B8}
20,12,Brooklyn Centre,1.38156,{1B57AF84-E660-47AC-8B48-90D5BBF495F4}
21,26,Lee-Harvard,2.92665,{14651C79-CC28-448D-BB70-60F20D09C3DD}
22,04,Bellaire-Puritas,3.5612,{AB52178A-AAC3-4EF8-8ACA-A6D7842F4FD1}
23,01,Kamm's,4.72498,{8CE04C57-075D-4D65-ADEC-0D73669FBB84}
24,02,Jefferson,3.93639,{3C56157F-F52B-4984-9D3E-74F3E90EC07A}
25,12,Old Brooklyn,1.38156,{0203A842-DD1E-4509-B901-0676310EABE0}
26,01,Hopkins,4.72498,{F6C29ED9-2CB2-4F31-943C-E80351B2046A}
27,26,Lee-Seville,2.92665,{BB0696D1-2372-4F3C-985F-2BA79B2175C0}
28,25,Mount Pleasant,1.47696,{01634ADF-D45E-4619-ABCC-AF7D91596895}
29,10,Detroit Shoreway,1.8683,{9F4FEF6F-2A78-4D71-B531-299D94CB9533}
30, ,Union-Miles,0,{508FE690-5E07-4625-BAE2-8868D564460E}
31,06,Cudell,1.32745,{4FDEA8D0-6669-4B40-BA18-70864929ADB6}
32,11,Clark-Fulton,1.00438,{F3410FD8-407D-4C5D-A1E6-D62837F909FC}
33,06,Edgewater,1.32745,{F922604C-6E40-4F40-A4A7-6F48E2A3AD07}
34,10,Ohio City,1.8683,{412FBD6A-21DA-40D7-8A8C-F7E08FECF10A}
